Date;Bullish;Neutral
9-6-01;30,3%;36,0%
9-13-01;26,7%;36,7%
9-20-01;31,1%;24,3%
9-27-01;51,1%;26,7%
10-4-01;51,2%;19,5%
10-11-01;47,4%;24,6%
10-18-01;60,6%;18,3%
10-25-01;55,9%;26,5%
11-1-01;35,0%;31,7%
11-8-01;34,6%;23,1%
11-15-01;45,5%;21,2%
11-22-01;58,3%;16,7%
11-29-01;69,3%;10,7%
12-6-01;59,2%;16,3%
12-13-01;61,4%;24,6%
12-20-01;52,5%;21,3%
12-27-01;57,7%;15,4%
1-3-02;51,1%;24,4%
1-10-02;54,8%;23,3%
1-17-02;29,6%;40,9%
1-24-02;34,7%;34,7%
1-31-02;45,5%;31,8%
2-7-02;37,5%;39,6%
2-14-02;45,2%;38,7%
2-21-02;36,4%;38,2%
2-28-02;44,4%;35,2%
3-7-02;53,3%;31,1%
3-14-02;56,5%;29,0%
3-21-02;53,2%;35,5%
3-28-02;51,2%;25,6%
4-4-02;40,5%;39,3%
4-11-02;28,2%;38,5%
4-18-02;40,2%;36,6%
4-25-02;36,7%;40,0%
5-2-02;27,0%;39,6%
5-9-02;30,3%;29,0%
5-16-02;36,8%;34,9%
5-23-02;26,2%;33,3%
5-29-02;28,3%;31,5%
6-6-02;32,8%;27,9%
6-13-02;31,8%;34,6%
6-20-02;45,7%;28,6%
6-27-02;31,0%;23,0%
7-3-02;26,6%;26,6%
7-11-02;35,1%;22,7%
7-18-02;26,3%;20,0%
7-25-02;27,9%;23,3%
8-1-02;34,2%;34,2%
8-8-02;37,7%;23,0%
8-15-02;37,9%;20,7%
8-22-02;43,8%;16,7%
8-29-02;50,0%;21,0%
9-5-02;31,5%;18,5%
9-12-02;38,4%;24,7%
9-19-02;33,8%;23,0%
9-26-02;24,5%;28,4%
10-3-02;35,2%;16,9%
10-10-02;28,9%;16,4%
10-17-02;39,5%;21,1%
10-24-02;44,6%;21,7%
10-31-02;51,5%;20,6%
11-7-02;50,0%;23,7%
11-14-02;48,7%;18,9%
11-21-02;50,6%;28,1%
11-28-02;51,1%;17,0%
12-5-02;52,9%;29,4%
12-12-02;41,4%;34,5%
12-19-02;42,9%;27,1%
12-26-02;40,0%;28,0%
1-2-03;32,4%;29,7%
1-9-03;38,1%;19,1%
1-16-03;29,2%;41,7%
1-23-03;25,0%;31,8%
1-30-03;25,5%;26,6%
2-6-03;22,9%;51,4%
2-13-03;21,9%;40,0%
2-20-03;21,1%;21,1%
2-27-03;26,0%;26,8%
3-6-03;33,3%;27,3%
3-13-03;34,3%;14,3%
3-20-03;42,9%;19,1%
3-27-03;39,4%;27,9%
4-3-03;32,4%;29,4%
4-10-03;38,5%;30,8%
4-17-03;46,3%;22,2%
4-24-03;63,0%;18,0%
5-1-03;48,6%;25,7%
5-8-03;52,8%;28,8%
5-15-03;62,8%;20,9%
5-22-03;38,5%;26,0%
5-29-03;62,9%;22,9%
6-5-03;52,0%;28,8%
6-12-03;50,0%;20,8%
6-19-03;56,4%;7,7%
6-26-03;71,4%;20,0%
7-3-03;41,2%;23,5%
7-10-03;43,2%;25,7%
7-17-03;51,3%;20,2%
7-24-03;52,0%;17,3%
7-31-03;51,5%;32,3%
8-7-03;45,5%;22,1%
8-14-03;50,6%;25,8%
8-21-03;63,0%;18,5%
8-28-03;56,7%;20,6%
9-4-03;62,3%;21,3%
9-11-03;58,1%;24,4%
9-18-03;62,8%;17,7%
9-25-03;57,3%;20,4%
10-2-03;50,0%;21,4%
10-9-03;57,6%;19,2%
10-16-03;60,3%;25,9%
10-23-03;52,8%;30,6%
10-30-03;57,8%;23,4%
11-6-03;57,6%;25,8%
11-13-03;53,3%;32,2%
11-20-03;53,2%;25,8%
11-27-03;60,4%;18,9%
12-4-03;69,4%;16,2%
12-11-03;55,3%;23,7%
12-18-03;60,2%;20,4%
12-26-03;65,5%;17,2%
1-1-04;62,4%;24,1%
1-8-04;67,2%;14,9%
1-15-04;66,3%;23,6%
1-22-04;69,5%;17,1%
1-29-04;56,9%;28,1%
2-5-04;50,9%;27,3%
2-12-04;56,1%;29,3%
2-19-04;56,5%;22,6%
2-26-04;41,6%;27,9%
3-4-04;47,8%;39,1%
3-11-04;41,3%;25,2%
3-18-04;38,6%;35,1%
3-25-04;31,5%;25,9%
