Date,Open,High,Low,Close,Volume
2018-02-20,2722.9899902344,2737.6000976562,2706.7600097656,2716.2600097656,3646920000.0
2018-02-21,2720.5300292969,2747.75,2701.2900390625,2701.330078125,3789040000.0
2018-02-22,2710.419921875,2731.2600097656,2697.7700195312,2703.9599609375,3720620000.0
2018-02-23,2715.8000488281,2747.7600097656,2713.7399902344,2747.3000488281,3200360000.0
2018-02-26,2757.3701171875,2780.6398925781,2753.7800292969,2779.6000976562,3436590000.0
2018-02-27,2780.4499511719,2789.1499023438,2744.2199707031,2744.2800292969,3752070000.0
2018-02-28,2753.7800292969,2761.5200195312,2713.5400390625,2713.830078125,4244570000.0
2018-03-01,2715.2199707031,2730.8898925781,2659.6499023438,2677.669921875,4514490000.0
2018-03-02,2658.8898925781,2696.25,2647.3200683594,2691.25,3891250000.0
2018-03-05,2681.0600585938,2728.0900878906,2675.75,2720.9399414062,3733640000.0
2018-03-06,2730.1799316406,2732.080078125,2711.2600097656,2728.1201171875,3389030000.0
2018-03-07,2710.1799316406,2730.6000976562,2701.7399902344,2726.8000488281,3406690000.0
2018-03-08,2732.75,2740.4499511719,2722.6499023438,2738.9699707031,3206040000.0
2018-03-09,2752.9099121094,2786.5700683594,2751.5400390625,2786.5700683594,3376870000.0
2018-03-12,2790.5400390625,2796.9799804688,2779.2600097656,2783.0200195312,3216960000.0
2018-03-13,2792.3100585938,2801.8999023438,2758.6799316406,2765.3100585938,3324290000.0
2018-03-14,2774.0600585938,2777.1101074219,2744.3798828125,2749.4799804688,3394630000.0
2018-03-15,2754.2700195312,2763.0300292969,2741.4699707031,2747.330078125,3543710000.0
2018-03-16,2750.5700683594,2761.8500976562,2749.9699707031,2752.0100097656,5429140000.0
2018-03-19,2741.3798828125,2741.3798828125,2694.5900878906,2712.919921875,3327460000.0
2018-03-20,2715.0500488281,2724.2199707031,2710.0500488281,2716.9399414062,3272590000.0
2018-03-21,2714.9899902344,2739.1398925781,2709.7900390625,2711.9299316406,3434780000.0
2018-03-22,2691.3601074219,2695.6799316406,2641.5900878906,2643.6899414062,3765460000.0
2018-03-23,2646.7099609375,2657.669921875,2585.8898925781,2588.2600097656,3829380000.0
2018-03-26,2619.3500976562,2661.3601074219,2601.8100585938,2658.5500488281,3538080000.0
2018-03-27,2667.5700683594,2674.7800292969,2596.1201171875,2612.6201171875,3761320000.0
2018-03-28,2611.3000488281,2632.6499023438,2593.0600585938,2605.0,3875720000.0
2018-03-29,2614.4099121094,2659.0700683594,2609.7199707031,2640.8701171875,3572360000.0
2018-04-02,2633.4499511719,2638.3000488281,2553.8000488281,2581.8798828125,3635780000.0
2018-04-03,2592.169921875,2619.1398925781,2575.4899902344,2614.4499511719,3395840000.0
2018-04-04,2584.0400390625,2649.8601074219,2573.6101074219,2644.6899414062,3369230000.0
2018-04-05,2657.3601074219,2672.080078125,2649.580078125,2662.8400878906,3230430000.0
2018-04-06,2645.8200683594,2656.8798828125,2586.2700195312,2604.4699707031,3312390000.0
2018-04-09,2617.1799316406,2653.5500488281,2610.7900390625,2613.1599121094,3076140000.0
2018-04-10,2638.4099121094,2665.4499511719,2635.7800292969,2656.8701171875,3579130000.0
2018-04-11,2643.8898925781,2661.4299316406,2639.25,2642.1899414062,3054520000.0
2018-04-12,2653.830078125,2674.7199707031,2653.830078125,2663.9899902344,3045330000.0
2018-04-13,2676.8999023438,2680.2600097656,2645.0500488281,2656.3000488281,2988540000.0
2018-04-16,2670.1000976562,2686.4899902344,2665.1599121094,2677.8400878906,3020740000.0
2018-04-17,2692.7399902344,2713.3400878906,2692.0500488281,2706.3898925781,3286190000.0
2018-04-18,2710.1101074219,2717.4899902344,2703.6298828125,2708.6398925781,3412030000.0
2018-04-19,2701.1599121094,2702.8400878906,2681.8999023438,2693.1298828125,3375120000.0
2018-04-20,2692.5600585938,2693.9399414062,2660.6101074219,2670.1398925781,3428260000.0
2018-04-23,2675.3999023438,2682.8601074219,2657.9899902344,2670.2900390625,3030390000.0
2018-04-24,2680.8000488281,2683.5500488281,2617.3200683594,2634.5600585938,3716020000.0
2018-04-25,2634.919921875,2645.3000488281,2612.669921875,2639.3999023438,3563680000.0
2018-04-26,2651.6499023438,2676.4799804688,2647.1599121094,2666.9399414062,3690920000.0
2018-04-27,2675.4699707031,2677.3500976562,2659.0100097656,2669.9099121094,3234510000.0
2018-04-30,2682.5100097656,2682.8701171875,2648.0400390625,2648.0500488281,3749510000.0
2018-05-01,2642.9599609375,2655.2700195312,2625.4099121094,2654.8000488281,3562820000.0
2018-05-02,2654.2399902344,2660.8701171875,2631.6999511719,2635.669921875,4047020000.0
2018-05-03,2628.080078125,2637.1398925781,2594.6201171875,2629.7299804688,3867530000.0
2018-05-04,2621.4499511719,2670.9299316406,2615.3200683594,2663.419921875,3335260000.0
2018-05-07,2680.3400878906,2683.3500976562,2664.6999511719,2672.6298828125,3266810000.0
2018-05-08,2670.2600097656,2676.3400878906,2655.1999511719,2671.919921875,3745100000.0
2018-05-09,2678.1201171875,2701.2700195312,2674.1398925781,2697.7900390625,3913650000.0
2018-05-10,2705.0200195312,2726.1101074219,2704.5400390625,2723.0700683594,3380640000.0
