Date,Open,High,Low,Close,Volume,FearGreed,VIX
2024-04-01,5257.9702148438,5263.9501953125,5229.2001953125,5243.7700195312,3325930000.0,0.8532029585057039,0.8910433882122534
2024-04-02,5204.2900390625,5208.33984375,5184.0498046875,5205.8100585938,3886590000.0,0.8516986335715181,1.2884963074197047
2024-04-03,5194.3701171875,5228.75,5194.3701171875,5211.490234375,3703250000.0,0.8298859220258243,1.5342523796698293
2024-04-04,5244.0498046875,5256.58984375,5146.0600585938,5147.2099609375,4075680000.0,0.6343236805816723,1.745774813639059
2024-04-05,5158.9501953125,5222.1801757812,5157.2099609375,5204.33984375,3386780000.0,0.6882286573899963,1.7136259055945642
2024-04-08,5211.3701171875,5219.5698242188,5197.3500976562,5202.3901367188,3278180000.0,0.7625673812210104,1.6806841001671562
2024-04-09,5217.0297851562,5224.8100585938,5160.7797851562,5209.91015625,3400680000.0,0.7074088003008651,1.3844348556487427
2024-04-10,5167.8798828125,5178.4301757812,5138.7001953125,5160.6401367188,3845930000.0,0.5825498307634449,1.2311884398969624
2024-04-11,5172.9501953125,5211.7797851562,5138.7700195312,5199.0600585938,3509380000.0,0.6701767581797667,1.113681381135825
2024-04-12,5171.509765625,5175.0297851562,5107.9399414062,5123.41015625,3963220000.0,0.5241318791525635,1.1998456497330006
2024-04-15,5149.669921875,5168.4301757812,5052.4702148438,5061.8198242188,3950210000.0,0.44126864736116334,1.317887310721431
2024-04-16,5064.58984375,5079.83984375,5039.830078125,5051.41015625,4006200000.0,0.4000250720822365,1.4690036180002386
2024-04-17,5068.9702148438,5077.9599609375,5007.25,5022.2099609375,3596130000.0,0.3505077096652877,1.4125356406134677
2024-04-18,5031.5200195312,5056.66015625,5001.8901367188,5011.1201171875,3619760000.0,0.3409803184154444,1.2825178158413242
2024-04-19,5005.4399414062,5019.0200195312,4953.5600585938,4967.2299804688,3878750000.0,0.3067569261627179,1.2364147439856514
2024-04-22,4987.330078125,5038.83984375,4969.3999023438,5010.6000976562,3820250000.0,0.3882411934311145,1.1177089462168475
2024-04-23,5028.8500976562,5076.1201171875,5027.9599609375,5070.5498046875,3751400000.0,0.4183276921148301,0.9621489694059011
2024-04-24,5084.8598632812,5089.4799804688,5047.0200195312,5071.6298828125,3656740000.0,0.4298608499435878,0.7924046803385355
2024-04-25,5019.8798828125,5057.75,4990.580078125,5048.419921875,3958050000.0,0.4499185157327316,0.691049590206653
2024-04-26,5084.6499023438,5114.6201171875,5073.1401367188,5099.9599609375,3604140000.0,0.46771969412059666,0.6792572086911425
2024-04-29,5114.1298828125,5123.490234375,5088.6499023438,5116.169921875,3447450000.0,0.49178889306756923,0.6537163649830263
2024-04-30,5103.7797851562,5110.830078125,5035.3100585938,5035.6899414062,4082470000.0,0.46809577535414315,0.7135553739466134
2024-05-01,5029.0297851562,5096.1201171875,5013.4501953125,5018.3901367188,4544170000.0,0.46771969412059666,0.788572354304352
2024-05-02,5049.3198242188,5073.2099609375,5011.0498046875,5064.2001953125,4381660000.0,0.48928168484392626,0.8556962499984472
2024-05-03,5122.7797851562,5139.1201171875,5101.2202148438,5127.7900390625,3924990000.0,0.5021938071956875,0.7759627210892349
2024-05-06,5142.419921875,5181.0,5142.419921875,5180.740234375,3683250000.0,0.44879027203209226,0.6573683996288602
2024-05-07,5187.2001953125,5200.2299804688,5178.9599609375,5187.7001953125,3987890000.0,0.42584931678575905,0.5440018406887961
2024-05-08,5168.9799804688,5191.9501953125,5165.8598632812,5187.669921875,3842100000.0,0.4383853579039739,0.5433070786212135
2024-05-09,5189.0297851562,5215.2998046875,5180.41015625,5214.080078125,3727370000.0,0.48928168484392626,0.4900234496613885
2024-05-10,5225.490234375,5239.66015625,5209.6801757812,5222.6801757812,3617900000.0,0.5369186410931428,0.43807649129135484
2024-05-13,5233.080078125,5237.259765625,5211.16015625,5221.419921875,4255710000.0,0.5629936066190296,0.566858056519107
2024-05-14,5221.1000976562,5250.3701171875,5217.9799804688,5246.6801757812,4763580000.0,0.6530023818478125,0.7851241398658378
2024-05-15,5263.259765625,5311.759765625,5263.259765625,5308.1499023438,4360810000.0,0.704149429610129,0.9261905957395711
2024-05-16,5310.0698242188,5325.490234375,5296.1899414062,5297.1000976562,3817470000.0,0.7410053904976809,0.7694492857086724
2024-05-17,5303.1000976562,5305.4501953125,5283.58984375,5303.2700195312,3578120000.0,0.7471480506456061,0.4166667830769617
2024-05-20,5305.3500976562,5325.3198242188,5302.3999023438,5308.1298828125,3420100000.0,0.7174376331954369,0.36704128194696056
2024-05-21,5298.6899414062,5324.3198242188,5297.8701171875,5321.41015625,3662240000.0,0.704901592077222,0.18592294445592755
2024-05-22,5319.2797851562,5323.1801757812,5286.009765625,5307.009765625,3847130000.0,0.6933684342484643,0.3519061569843838
2024-05-23,5340.259765625,5341.8798828125,5256.9301757812,5267.83984375,3869520000.0,0.6163971417826251,0.6473432075274533
2024-05-24,5281.4501953125,5311.6499023438,5278.3901367188,5304.7202148438,3005510000.0,0.6084994358781497,0.7484081519555152
2024-05-28,5315.91015625,5315.91015625,5280.8901367188,5306.0400390625,3751540000.0,0.6454807571768835,1.2142861238331069
2024-05-29,5278.7299804688,5282.2700195312,5262.7001953125,5266.9501953125,3552750000.0,0.5863106430989093,1.8317851141597261
2024-05-30,5259.7700195312,5260.2099609375,5222.1000976562,5235.4799804688,3818750000.0,0.5251347624420208,2.393867411745195
2024-05-31,5243.2099609375,5280.330078125,5191.6801757812,5277.509765625,5437160000.0,0.5670051397768584,2.260578630180739
2024-06-03,5297.1499023438,5302.1098632812,5234.3198242188,5283.3999023438,4046920000.0,0.5301491788893068,1.623762194862724
2024-06-04,5278.240234375,5298.7998046875,5257.6298828125,5291.33984375,3707900000.0,0.5569763068822866,1.083108155524157
2024-06-05,5314.4799804688,5354.16015625,5297.6401367188,5354.0297851562,3591460000.0,0.6009778112072207,0.931537472052974
2024-06-06,5357.7998046875,5362.3500976562,5335.3598632812,5352.9599609375,3609990000.0,0.5278926914880281,0.7641742052657682
2024-06-07,5343.8100585938,5375.080078125,5331.330078125,5346.990234375,3692760000.0,0.5039488529522377,0.5306944193715473
2024-06-10,5341.2202148438,5365.7900390625,5331.5200195312,5360.7900390625,3622280000.0,0.5207471480506456,0.5256102152027906
2024-06-11,5353.0,5375.9501953125,5327.25,5375.3198242188,3568030000.0,0.5164848940704525,0.6014025952646855
